SerialNo,Sex,Age,StateOfOrigin,TotalScore,Dept
1331,2,19,34,208,23
1332,2,20,5,206,23
1333,1,22,37,282,14
1334,1,23,2,242,14
1335,1,25,7,239,14
1336,1,22,9,239,14
1337,2,19,25,235,14
1338,1,19,12,226,14
1339,1,24,37,224,14
1340,1,23,7,223,14
1341,1,21,23,221,14
1342,2,18,26,221,14
1343,1,24,22,220,14
1344,1,32,28,220,14
1345,1,20,10,218,14
1346,1,27,12,217,14
1347,1,19,4,217,14
1348,2,21,34,217,14
1349,1,21,11,216,14
1350,1,17,10,216,14
1351,1,22,37,216,14
1352,1,30,15,213,14
1353,2,21,22,213,14
1354,1,24,30,212,14
1355,1,20,23,211,14
1356,2,21,1,211,14
1357,1,18,31,210,14
1358,2,25,18,208,14
1359,1,22,7,208,14
1360,1,23,30,207,14
1361,1,26,23,207,14
1362,1,23,13,206,14
1363,1,18,9,206,14
1364,1,19,4,206,14
1365,1,20,24,206,14
1366,1,21,19,206,14
1367,1,18,22,206,14
1368,1,22,22,206,14
1369,1,21,22,205,14
1370,1,19,28,205,14
1371,1,21,37,204,14
1372,2,17,12,204,14
1373,1,22,22,204,14
1374,1,19,22,203,14
1375,1,26,22,202,14
1376,2,28,31,202,14
1377,1,19,30,202,14
1378,1,23,22,202,14
1379,1,21,10,201,14
1380,1,18,13,201,14
1381,1,18,10,201,14
1382,1,18,1,200,14
1383,1,22,37,200,14
1384,1,23,1,200,14
1385,1,25,31,199,14
1386,1,21,7,199,14
1387,1,26,30,199,14
1388,1,20,15,199,14
1389,2,19,31,198,14
1390,1,27,37,198,14
1391,1,24,37,197,14
1392,2,18,22,196,14
1393,1,18,12,196,14
1394,1,19,22,196,14
1395,1,25,16,196,14
1396,1,26,25,195,14
1397,1,18,26,194,5
1398,1,21,2,194,14
1399,2,26,8,194,14
1400,1,22,7,193,14
1401,1,18,2,192,14
1402,2,19,28,192,14
1403,1,17,3,192,14
1404,1,19,26,191,14
1405,1,21,25,190,14
1406,2,15,26,190,14
1407,1,25,7,190,14
1408,1,21,28,189,14
